iter	Passed	Remaining
0	15	22818
1	30	23005
2	44	22158
3	58	21911
4	72	21551
5	85	21201
6	98	20965
7	111	20848
8	125	20728
9	141	21075
10	155	20985
11	169	21014
12	184	21049
13	199	21184
14	213	21118
15	227	21060
16	241	21054
17	254	20952
18	268	20933
19	281	20846
20	295	20819
21	309	20795
22	323	20777
23	337	20757
24	352	20785
25	366	20764
26	380	20754
27	394	20740
28	408	20700
29	422	20710
30	437	20729
31	451	20716
32	466	20738
33	480	20724
34	497	20829
35	511	20813
36	525	20775
37	539	20740
38	553	20721
39	566	20666
40	580	20646
41	593	20604
42	606	20563
43	620	20538
44	633	20499
45	647	20459
46	661	20437
47	674	20394
48	687	20366
49	702	20367
50	715	20335
51	729	20310
52	743	20292
53	756	20261
54	770	20232
55	783	20208
56	797	20186
57	811	20181
58	825	20164
59	839	20144
60	852	20107
61	865	20073
62	879	20063
63	893	20048
64	907	20044
65	922	20045
66	936	20026
67	949	19993
68	963	19973
69	976	19953
70	990	19941
71	1004	19926
72	1018	19915
73	1031	19883
74	1045	19862
75	1059	19844
76	1072	19819
77	1086	19799
78	1099	19772
79	1112	19753
80	1127	19746
81	1141	19736
82	1155	19728
83	1170	19728
84	1185	19733
85	1198	19710
86	1212	19685
87	1227	19690
88	1242	19691
89	1258	19713
90	1275	19746
91	1291	19760
92	1305	19745
93	1323	19795
94	1341	19834
95	1358	19871
96	1375	19889
97	1394	19955
98	1409	19949
99	1425	19951
100	1440	19952
101	1455	19955
102	1471	19955
103	1486	19949
104	1500	19934
105	1515	19925
106	1529	19915
107	1543	19893
108	1557	19880
109	1571	19855
110	1586	19858
111	1600	19835
112	1614	19820
113	1629	19814
114	1644	19805
115	1658	19790
116	1673	19780
117	1688	19774
118	1702	19756
119	1717	19750
120	1731	19738
121	1745	19715
122	1759	19698
123	1775	19699
124	1789	19686
125	1803	19671
126	1818	19655
127	1833	19653
128	1850	19662
129	1866	19667
130	1882	19672
131	1898	19673
132	1914	19681
133	1931	19687
134	1947	19689
135	1962	19680
136	1976	19666
137	1991	19650
138	2006	19648
139	2023	19652
140	2039	19654
141	2054	19645
142	2069	19636
143	2083	19617
144	2097	19600
145	2112	19593
146	2127	19579
147	2141	19564
148	2155	19541
149	2168	19518
150	2181	19491
151	2195	19470
152	2208	19447
153	2222	19424
154	2235	19400
155	2249	19379
156	2264	19367
157	2277	19344
158	2291	19324
159	2305	19309
160	2319	19287
161	2333	19269
162	2346	19251
163	2360	19227
164	2373	19205
165	2387	19185
166	2400	19162
167	2415	19148
168	2429	19132
169	2442	19108
170	2455	19087
171	2470	19071
172	2483	19047
173	2496	19027
174	2510	19008
175	2525	18996
176	2541	18999
177	2559	19011
178	2578	19026
179	2597	19048
180	2616	19067
181	2635	19088
182	2654	19107
183	2674	19129
184	2697	19174
185	2718	19203
186	2739	19233
187	2757	19246
188	2774	19248
189	2789	19235
190	2803	19215
191	2818	19203
192	2834	19196
193	2851	19195
194	2866	19183
195	2881	19171
196	2897	19162
197	2912	19153
198	2927	19140
199	2942	19127
200	2957	19116
201	2972	19099
202	2986	19082
203	3000	19059
204	3014	19040
205	3028	19021
206	3043	19013
207	3058	18995
208	3071	18974
209	3086	18962
210	3101	18947
211	3124	18981
212	3146	19013
213	3164	19018
214	3181	19016
215	3202	19035
216	3224	19062
217	3245	19084
218	3263	19089
219	3277	19071
220	3293	19057
221	3307	19042
222	3321	19023
223	3336	19008
224	3351	18992
225	3368	18986
226	3383	18976
227	3401	18979
228	3417	18969
229	3433	18959
230	3448	18945
231	3465	18941
232	3482	18939
233	3498	18930
234	3514	18917
235	3529	18904
236	3544	18889
237	3561	18882
238	3577	18875
239	3593	18864
240	3608	18849
241	3625	18844
242	3641	18836
243	3657	18829
244	3672	18813
245	3687	18798
246	3704	18792
247	3721	18787
248	3736	18771
249	3751	18757
250	3765	18739
251	3781	18728
252	3795	18708
253	3810	18691
254	3825	18676
255	3841	18669
256	3859	18665
257	3875	18654
258	3891	18646
259	3907	18634
260	3922	18622
261	3939	18613
262	3954	18597
263	3969	18583
264	3985	18571
265	3998	18550
266	4013	18533
267	4028	18519
268	4044	18507
269	4058	18489
270	4072	18469
271	4087	18453
272	4102	18437
273	4117	18424
274	4132	18406
275	4146	18387
276	4164	18387
277	4188	18413
278	4206	18410
279	4222	18398
280	4237	18384
281	4257	18387
282	4276	18392
283	4295	18390
284	4311	18381
285	4333	18396
286	4353	18400
287	4374	18407
288	4393	18409
289	4414	18420
290	4431	18412
291	4448	18401
292	4462	18383
293	4482	18388
294	4497	18371
295	4512	18353
296	4527	18339
297	4543	18324
298	4559	18312
299	4574	18299
300	4589	18281
301	4604	18265
302	4620	18253
303	4636	18239
304	4651	18225
305	4667	18213
306	4683	18199
307	4698	18184
308	4721	18197
309	4737	18185
310	4752	18168
311	4766	18151
312	4780	18130
313	4795	18111
314	4809	18093
315	4824	18078
316	4839	18058
317	4853	18040
318	4867	18019
319	4881	18002
320	4900	17997
321	4919	17998
322	4947	18029
323	5026	18243
324	5051	18263
325	5073	18269
326	5089	18258
327	5108	18253
328	5124	18241
329	5142	18231
330	5157	18216
331	5176	18209
332	5201	18229
333	5220	18223
334	5236	18210
335	5254	18204
336	5272	18195
337	5302	18228
338	5322	18229
339	5341	18224
340	5360	18217
341	5382	18225
342	5399	18213
343	5415	18198
344	5431	18183
345	5446	18167
346	5468	18170
347	5487	18165
348	5507	18163
349	5528	18163
350	5544	18148
351	5558	18129
352	5621	18264
353	5658	18318
354	5699	18384
355	5766	18529
356	5800	18572
357	5837	18621
358	5898	18746
359	5920	18747
360	5938	18736
361	5954	18720
362	5975	18717
363	6033	18829
364	6068	18869
365	6092	18875
366	6126	18912
367	6146	18908
368	6166	18901
369	6184	18886
370	6201	18873
371	6219	18858
372	6236	18842
373	6254	18830
374	6272	18817
375	6289	18801
376	6308	18790
377	6323	18770
378	6339	18752
379	6357	18738
380	6375	18725
381	6395	18718
382	6411	18699
383	6429	18685
384	6445	18667
385	6463	18652
386	6479	18635
387	6496	18619
388	6515	18608
389	6533	18594
390	6549	18577
391	6567	18563
392	6585	18550
393	6605	18542
394	6625	18535
395	6643	18522
396	6660	18503
397	6676	18485
398	6693	18468
399	6708	18448
400	6726	18436
401	6742	18415
402	6759	18398
403	6775	18380
404	6791	18362
405	6807	18343
406	6823	18325
407	6842	18314
408	6859	18298
409	6874	18276
410	6890	18256
411	6904	18233
412	6920	18213
413	6936	18195
414	6953	18180
415	6970	18163
416	6986	18144
417	7003	18127
418	7019	18110
419	7036	18094
420	7053	18077
421	7070	18061
422	7087	18044
423	7102	18023
424	7118	18006
425	7135	17988
426	7187	18061
427	7219	18081
428	7251	18103
429	7289	18138
430	7319	18153
431	7356	18186
432	7395	18223
433	7427	18244
434	7463	18272
435	7490	18278
436	7505	18257
437	7524	18243
438	7539	18221
439	7555	18201
440	7574	18189
441	7591	18170
442	7623	18189
443	7650	18195
444	7669	18182
445	7694	18183
446	7712	18168
447	7729	18150
448	7746	18133
449	7761	18109
450	7775	18085
451	7790	18063
452	7807	18045
453	7825	18028
454	7840	18006
455	7855	17985
456	7871	17964
457	7885	17940
458	7902	17922
459	7917	17900
460	7935	17884
461	7950	17863
462	7965	17839
463	7980	17818
464	7998	17802
465	8013	17781
466	8028	17758
467	8044	17739
468	8059	17716
469	8074	17694
470	8088	17671
471	8104	17650
472	8120	17630
473	8136	17612
474	8152	17591
475	8167	17570
476	8182	17548
477	8196	17525
478	8211	17503
479	8234	17499
480	8250	17479
481	8266	17459
482	8282	17439
483	8298	17419
484	8312	17396
485	8328	17377
486	8342	17352
487	8357	17331
488	8372	17310
489	8389	17292
490	8406	17275
491	8423	17258
492	8439	17238
493	8455	17219
